primaryName,category,total_titles,avg_imdb_rating,total_votes
Kenny Baker,actor,3,8.57,3539525
Peter Mayhew,actor,3,8.53,4280364
Suriya,actor,3,8.5,455217
Sterling Hayden,actor,3,8.47,2881095
Sala Baker,actor,3,8.44,8792211
Lee J. Cobb,actor,3,8.4,1659460
Charles Chaplin,actor,5,8.35,1293948
Tatsuya Nakadai,actor,4,8.35,457285
Sergio Leone,director,5,8.34,2236997
Charles Chaplin,director,5,8.34,1034564
Frank Vincent,actor,3,8.33,2420099
Henry Fonda,actor,4,8.33,1538230
Alec Guinness,actor,5,8.32,3749703
Joe Turkel,actor,3,8.3,2344681
Daisuke Katō,actor,3,8.3,740905
Takashi Shimura,actor,6,8.27,974750
Akira Kurosawa,director,7,8.26,1126649
Toshirô Mifune,actor,5,8.25,1015517
Minoru Chiaki,actor,4,8.25,760283
Henry Bergman,actor,3,8.25,704440
Lee Van Cleef,actor,3,8.23,2254236
John Ratzenberger,actor,6,8.22,6439561
John Cazale,actor,4,8.2,2310289
Sushant Singh Rajput,actor,4,8.2,646453
Henry Daniell,actor,3,8.2,499989
Frank Capra,director,4,8.18,882483
Christopher Nolan,director,12,8.17,18196253
Billy Dee Williams,actor,3,8.17,3143881
Jack Hawkins,actor,3,8.17,862579
Akshaye Khanna,actor,3,8.17,269756
Billy Wilder,director,7,8.16,1265583
Achyuth Kumar,actor,5,8.16,508700
Peter Lorre,actor,4,8.15,1091077
Claude Rains,actor,5,8.14,1298361
Pete Docter,director,4,8.13,3670617
Vera Miles,actress,3,8.13,977012
Rajat Kapoor,actor,3,8.13,240552
Thomas Mitchell,actor,5,8.12,1215637
Tabu,actress,6,8.12,1118348
David Lean,director,3,8.1,677809
Bibi Andersson,actress,3,8.08,821966
Ingmar Bergman,director,4,8.08,552595
Kulbhushan Kharbanda,actor,4,8.08,324282
David Clennon,actor,3,8.07,1776758
Miyu Irino,actor,3,8.07,1167503
Sam Bottoms,actor,3,8.07,913385
Orson Welles,actor,3,8.07,803802
William Wyler,director,3,8.07,507952
Gunnar Björnstrand,actor,3,8.07,481237
Shriya Saran,actress,3,8.07,364114
